1,2,2,4,5,6,6,7,7,8
9,10,12,13,13,14,16,16,18,19
21,21,22,24,25,29,30,33,33,33
33,34,36,40,41,41,44,45,46,47
48,48,54,54,59,60,60,61,62,62
62,63,64,66,69,69,69,69,70,70
70,70,72,72,72,73,75,75,76,77
79,80,80,81,82,86,86,87,88,89
91,92,92,93,94,96,98,98,100,100
100,103,105,107,107,112,114,114,115,119
120,121,122,122,124,126,129,130,131,132
137,137,138,139,140,141,142,142,143,144
144,144,144,145,145,146,149,149,150,150
151,152,153,153,156,157,159,160,161,162
163,166,168,168,169,171,173,174,174,174
175,179,180,180,181,181,181,182,182,186
188,188,189,189,190,191,193,195,197,198
200,202,204,205,207,208,208,211,214,215
216,217,220,221,222,223,224,225,226,227
227,228,229,231,233,238,242,243,249,250
251,254,254,255,258,259,261,261,263,264
266,268,269,273,273,277,278,279,280,281
282,288,290,295,296,298,298,300,301,301
302,304,307,309,310,311,312,313,314,315
315,316,316,316,317,317,321,321,322,322
323,324,324,325,327,327,328,328,330,331
331,331,332,332,333,335,335,336,340,343
343,343,344,344,345,346,346,349,350,350
352,354,355,355,359,361,363,364,367,368
369,371,371,375,375,376,376,378,381,384
385,385,387,387,389,391,392,392,393,394
394,396,397,397,403,403,405,408,409,411
413,423,425,426,427,428,428,429,429,433
435,435,437,439,441,442,442,443,443,444
446,447,449,449,450,450,450,452,452,452
452,456,456,456,456,458,458,459,460,461
463,464,464,466,467,468,469,471,473,474
478,483,483,484,484,487,488,489,490,491
491,491,491,494,495,495,499,499,501,502
502,503,504,504,505,505,505,507,509,510
511,511,512,513,514,515,516,516,518,520
521,523,527,527,528,529,529,530,530,531
532,532,532,537,537,538,539,541,543,543
543,543,546,548,548,549,551,553,556,562
566,568,568,570,571,571,572,573,573,573
574,577,578,581,583,583,583,585,586,588
588,589,589,591,591,593,594,594,594,594
595,596,596,598,599,600,600,603,606,607
612,614,614,616,617,617,620,622,624,624
626,627,627,628,630,631,631,633,635,635
636,637,640,640,641,641,645,647,648,650
650,652,652,652,653,655,655,656,657,658
659,660,665,669,669,670,670,670,672,673
675,676,677,677,677,679,680,681,681,683
685,686,687,687,687,688,688,689,692,692
693,694,694,697,698,702,702,702,703,703
704,704,704,705,709,709,710,711,712,712
714,714,719,719,720,720,721,722,722,722
723,723,723,723,725,725,725,727,727,735
736,738,738,740,740,743,743,744,747,748
749,754,756,758,759,760,760,762,762,763
763,764,771,772,773,773,775,777,777,779
779,781,782,782,784,785,786,790,790,791
792,795,795,797,798,800,802,802,803,806
806,808,810,811,811,812,813,814,815,821
821,822,823,823,824,824,824,825,827,827
828,829,831,832,832,835,836,836,836,837
837,838,839,839,842,842,842,843,845,845
845,845,845,845,845,854,855,855,856,856
857,857,857,858,859,861,862,866,868,868
869,869,869,870,871,871,872,875,877,878
878,881,881,883,883,888,890,891,892,894
895,898,899,900,901,901,903,903,903,903
905,907,907,909,910,912,913,917,917,918
921,922,922,922,924,925,927,928,929,931
932,935,939,939,940,941,942,943,943,944
945,948,948,949,949,952,952,954,954,955
956,956,958,958,960,961,962,964,965,965
965,966,969,971,972,973,974,976,977,983
985,985,987,991,991,992,998,999,999,
